idx,status,contact,legal_code,name
574,폐업,,충청남도 공주시 신관동 256-6,금비동물병원
575,폐업,,충청남도 공주시 신관동 256-6,금비동물병원
576,폐업,,충청남도 공주시 의당면 청룡리 664-6,한우사랑
577,폐업,041-858-6030,충청남도 공주시 신관동 589-4,성진가축약품동물병원
578,폐업,,,의당농협동물병원
579,폐업,,충청남도 홍성군 홍성읍 오관리 311-7번지,대산동물병원
580,폐업,,충청남도 홍성군 홍성읍 남장리 221-1번지 한국폴리텍 4 홍성대학 부설탐구관동 402호,돼지와 건강동물병원
581,폐업,041-558-1475,충청남도 천안시 동남구 목천읍 신계리 407-2번지,마일스톤피그클리닉(산업동물에 대한 출장진료를 전문으로 함)
582,폐업,590-5003,충청남도 천안시 동남구 원성동 480-5번지,대전충남양계농협 양계전문병원
583,폐업,735-2710,충청남도 논산시 대교동 109-9번지,녹십자동물병원
584,폐업,736-3550,충청남도 논산시 취암동 939번지,에셀동물병원
585,폐업,733-0930,충청남도 논산시 취암동 939번지,동물사랑 고려 동물병원
586,폐업,041-733-7533,충청남도 논산시 내동 794번지,킴스애니멀랩(Kim's Animal Lab.)
587,폐업,,충청남도 논산시 연무읍 안심리 9-8번지,유일산업동물병원
588,폐업,567-7552,충청남도 천안시 서북구 백석동 1047번지,웰니스클리닉
589,폐업,567-7552,충청남도 천안시 서북구 백석동 1047번지,웰니스동물병원
590,폐업,041-575-5000,충청남도 천안시 서북구 쌍용동 494-17 우리척병원 102호,천안동물의료센터
591,폐업,567-7552,충청남도 천안시 서북구 백석동 1047번지,웰니스동물병원
592,폐업,041-672-0346,충청남도 태안군 태안읍 남문리 504-8번지,최기중 동물병원
593,폐업,041-672-0346,충청남도 태안군 태안읍 남문리 504-8번지,최기중 동물병원
594,폐업,634-8443,충청남도 홍성군 홍성읍 오관리 474-1번지,선희동물병원
595,폐업,,경기도 안양시 만안구 안양동 693-1번지,김종오동물병원
596,폐업,031-385-7582,경기도 안양시 동안구 평촌동 901번지,현대동물병원
597,폐업,031-465-0075,경기도 안양시 만안구 박달동 75-17번지,애니피스동물병원
598,폐업,,경기도 안양시 동안구 비산동 363-13번지,이풍호동물병원
599,폐업,031-469-0075,경기도 안양시 만안구 안양동 695-21번지,안양동물병원
600,폐업,665-6252,경기도 평택시 지산동 824-2번지,김국진동물병원
601,폐업,656-0524,경기도 평택시 비전동 729-27  번지,김충일동물병원
602,폐업,663-6633,경기도 평택시 서정동 308-8번지,영화동물병원
603,폐업,655-5674,경기도 평택시 비전동 729-2   번지,중앙동물병원
604,폐업,618-8275,경기도 평택시 비전동 191-8번지 2통10반,김기혁 동물병원 비전동점
605,폐업,655-3345,경기도 평택시 팽성읍 남산리 41-138번지,평일동물병원
606,폐업,658-3188,경기도 평택시 비전동 272번지,정다운동물병원
607,폐업,,경기도 오산시 오산동 324번지,중앙가축병원
608,폐업,031-374-0275,경기도 오산시 궐동 586-13,쥬만지 동물병원
609,폐업,031-372-8333,경기도 오산시 궐동 632-2번지,튼튼 동물병원
610,폐업,031-378-1514,경기도 오산시 원동 841번지 파크스퀘어 105~106호,저스트 벳 동물병원
611,폐업,031-372-8333,경기도 오산시 궐동 632-2번지,튼튼동물병원
612,폐업,666-2310,경기도 평택시 서정동 306-4번지,협동동물병원
613,폐업,666-2283,경기도 평택시 신장동 213-8   번지,제일동물병원
614,폐업,666-4128,경기도 평택시 서정동 303-1번지,송탄동물병원
615,폐업,682-2627,경기도 평택시 안중읍 안중리 266-16번지,서울동물병원
616,폐업,,경기도 평택시 청북면 현곡리 298-9   번지,평택고려동물병원
617,폐업,653-0275,경기도 평택시 지제동 50번지 이마트2층,펫사랑동물병원
618,폐업,652-9816,경기도 평택시 평택동 188-12  번지,한원동물병원
619,폐업,,경기도 연천군 전곡읍 전곡리 305-16번지,사랑동물병원
620,폐업,834-7233,경기도 연천군 연천읍 통현리 245-4,우리 동물병원
621,폐업,832-7771,경기도 연천군 전곡읍 전곡리 468-24 4통3반,사랑동물병원
622,폐업,692-7114,,강남동물병원
623,폐업,683-1098,경기도 평택시 청북면 현곡리 307-10  번지,실로암동물병원
624,폐업,691-4224,경기도 평택시 팽성읍 안정리 41-307번지,안정동물병원
625,폐업,,경기도 용인시 수지구 동천동 336-3번지 402호,라인-Vet
626,폐업,031-264-7502,"경기도 용인시 수지구 죽전동 1254-3번지 선진포리스트 104,105호",죽전서울동물병원
627,폐업,336-7024,경기도 용인시 처인구 이동면 송전리 593-9번지,황수의사
628,폐업,332-1272,경기도 용인시 처인구 김량장동 42-9번지,한일동물병원
629,폐업,334-2618,경기도 용인시 처인구 남동 26-3번지,하나동물병원
630,폐업,707-8809,경기도 용인시 수지구 풍덕천동 732-3번지,메디펫동물병원
631,폐업,,경기도 용인시 수지구 신봉동 25-1번지 LG프라자 107호,신봉종합동물병원
632,폐업,335-7578,경기도 용인시 처인구 남동 71-1번지,페티앙동물병원
633,폐업,276-0282,경기도 용인시 수지구 신봉동 83번지 신LG프라자 102호,노아동물병원
634,폐업,031-896-2718,경기도 용인시 수지구 죽전동 1602-1번지 105호,송재원동물병원
635,폐업,,경기도 용인시 수지구 풍덕천동 704-1번지,늘푸른동물병원
636,폐업,335-7582,경기도 용인시 처인구 유방동 328-2번지 비엔비프라자 103호,원종합동물병원
637,폐업,266-2993,경기도 용인시 기흥구 보정동 1804-3번지 야후빌딩 105호,죽전동물병원
638,폐업,286-2275,경기도 용인시 기흥구 보라동 145-1번지 현대프라자 103호,우리동물병원
639,폐업,266-2929,경기도 용인시 수지구 죽전동 2003-3번지 SR프라자 104호,보미든동물병원
640,폐업,897-0072,경기도 용인시 기흥구 보정동 266-4번지 롯데마트 3층,폭시펫동물병원
641,폐업,321-7582,경기도 용인시 처인구 역북동 428-13번지,다솔동물병원
642,폐업,031-264-7502,경기도 용인시 수지구 죽전동 1608-3번지 선진포리스트 104호,청담 24시 동물병원
643,폐업,,,쿨펫동물병원죽전점
644,폐업,031-771-9533,경기도 양평군 양평읍 공흥리 402-8번지,현대동물병원(출장전문병원)
645,폐업,031-774-0780,경기도 양평군 용문면 다문리 704-4번지,아주동물병원
646,폐업,652-3223,경기도 평택시 통복동 82-5번지,축협동물병원
647,폐업,031-771-4070,경기도 양평군 양평읍 공흥리 530-3번지,신세계 종합 동물병원
648,폐업,772-1261,경기도 양평군 양평읍 공흥리,중앙 동물병원
649,폐업,031-772-1261,,중앙동물병원
650,폐업,031-772-1261,,중앙동물병원
651,폐업,,경기도 양평군 양서면 용담리 507-44번지,양평동물의료센터
652,폐업,338-6771,경기도 용인시 처인구 김량장동 254-147번지,용인축협동물병원
653,폐업,285-6334,경기도 용인시 기흥구 신갈동 71-12  번지,현대동물병원
654,폐업,263-7588,경기도 용인시 수지구 풍덕천동 713-6번지,세브란스동물병원
655,폐업,337-2733,경기도 용인시 처인구 이동면 천리 66-7   번지,용마동물병원
656,폐업,031-889-7582,경기도 용인시 수지구 동천동,수지동물병원
657,폐업,031-889-7582,,수지동물병원
658,폐업,031)216-8094,경기도 용인시 수지구 상현동 1190-2,가야 동물병원
659,폐업,031-334-4589,경기도 용인시 처인구 삼가동 195-15번지,펫스타일동물병원
660,폐업,334-7580,경기도 용인시 처인구 모현면 왕산리 428-1,행복동물병원
661,폐업,031-274-3575,경기도 용인시 기흥구 구갈동 589번지,제일종합동물병원
662,폐업,,경기도 용인시 수지구 죽전동 블럭 0-0 죽전택지개발지구-1703블럭,폭시펫 동물병원
663,폐업,,경기도 용인시 수지구 상현동 251-2번지 SR프라자 112호,박영준동물병원
664,폐업,,경기도 연천군 전곡읍 전곡리 전곡1리,전곡동물병원
665,폐업,832-6081,경기도 연천군 연천읍 차탄리 34-98번지,중앙가축병원
666,폐업,,경기도 연천군 연천읍 차탄리 45-27  번지,조문재동물병원
667,폐업,834-0079,경기도 연천군 연천읍 차탄리 34-289번지,애견동물병원
668,폐업,,경기도 연천군 전곡읍 전곡리 336-49  번지,현대동물병원
669,폐업,833-3317,경기도 연천군 전곡읍 전곡리 334-11번지,대한동물병원
670,폐업,031-851-0901,경기도 의정부시 금오동 474-2번지 대송프라자,서정동물메디컬센터
671,폐업,031-851-0900,경기도 의정부시 금오동 474-2번지,서정동물메디컬센터
672,폐업,031-848-8275,,의정부 동물병원 24시 88동물의료원
673,폐업,031-837-6125,경기도 의정부시 의정부동 168-54번지 신세계백화점 6층,이리온동물병원 의정부점
674,폐업,031-860-5271,경기도 의정부시 의정부동 182-8,펫인쥬동물병원
675,폐업,,경기도 양평군 양서면 양수리 559-23,양서동물병원
676,폐업,,경기도 양평군 양평읍 양근리 283번지,양평동물병원
677,폐업,031-378-8219,경기도 오산시 금암동 515번지,힐링동물병원
678,폐업,031-373-8219,경기도 오산시 내삼미동 861-16번지,수청동물병원
679,폐업,283-0775,경기도 용인시 기흥구 신갈동 63-5   번지,감남동물병원
680,폐업,286-7556,경기도 용인시 기흥구 마북동 370-5,가나안동물병원
681,폐업,266-1555,경기도 용인시 수지구 성복동 66-1   번지,LG동물병원
682,폐업,272-0275,경기도 용인시 수지구 상현동 99번지,이학호동물병원
683,폐업,339-9919,경기도 용인시 처인구 모현면 매산리 208-1번지,모현동물병원
684,폐업,282-8875,경기도 용인시 기흥구 구갈동 391-6   번지,닥터한동물병원
685,폐업,,경기도 양평군 양서면 양수리 597번지,삼성동물병원
686,폐업,,경기도 양평군 용문면 다문리 333번지,전동물병원
687,폐업,,경기도 양평군 양평읍 양근리 269-19  번지,한진종합동물병원
688,폐업,,경기도 양평군 양동면 쌍학리 229-1   번지,양동동물병원
689,폐업,651-7553,경기도 평택시 합정동 913-15  번지,두리동물병원
690,폐업,031-832-8600,경기도 연천군 전곡읍 전곡리 293-14번지,한북산업동물병원
691,폐업,,,혜성산업동물병원
692,폐업,,경기도 연천군 미산면 아미리 124-4번지,황창원동물병원
693,폐업,335-6318,경기도 용인시 처인구 김량장동 142-11번지,윤동물병원
694,폐업,077-668-3652,경기도 용인시 처인구 백암면 근창리 20-4   번지,준동물병원
695,폐업,,경기도 용인시 처인구 김량장동 12-8번지 롯데수퍼1층,쿨펫동물병원
696,폐업,655-5730,경기도 평택시 용이동 465-4번지,차우동물병원
697,폐업,,,누리동물병원
698,폐업,070-4219-8117,경기도 평택시 신장동 325-13번지,유명한동물병원
699,폐업,6555730,경기도 평택시 용이동 465-4번지,차우동물병원
700,폐업,6828765,경기도 평택시 안중읍 현화리 493번지,안중동물병원
701,폐업,031-682-8765,경기도 평택시 안중읍 안중리 233-19,안중중앙동물병원
702,폐업,031-691-4275,경기도 평택시 용이동 597-6,너와 나 동물병원
703,폐업,266-8982,경기도 용인시 수지구 죽전동 1178-1   번지 그린프라자 105호,영동동물병원
704,폐업,031-889-8877,경기도 용인시 수지구 죽전동 2003-3   번지 SR프라자 104호,보미든동물병원
705,폐업,031-264-1997,경기도 용인시 수지구 성복동 129-1번지 플러스메디칼센타 111호,한빛동물병원
706,폐업,031-264-7525,경기도 용인시 수지구 상현동 257-14번지 원희캐슬프라자 A동 112호,참누리동물병원
707,폐업,,경기도 용인시 기흥구 보정동 1019-237번지,주식회사 웰니스클리닉
708,폐업,,경기도 용인시 기흥구 보정동 919번지 대림아파트 상가 102호,대림동물병원
709,폐업,276-1911,경기도 용인시 기흥구 보정동 266-4번지 3층,주식회사 펫가든쿨펫동물병원
710,폐업,031-213-7572,경기도 용인시 기흥구 영덕동 989-6 1층,이음동물병원
711,폐업,334-3939,경기도 용인시 처인구 역북동 446-10,파크동물병원
712,폐업,338-0281,경기도 용인시 처인구 양지면 평창리 641-52번지,(주)비전축산센타
713,폐업,335-7578,경기도 용인시 처인구 남동 71-1번지,페티앙동물병원
714,폐업,031-897-0072,경기도 용인시 수지구 풍덕천동 193-8번지 훼미리빌딩 207호,쿨펫동물병원 수지점
715,폐업,031-216-8094,"경기도 용인시 수지구 상현동 광교택지개발지구 18-3, 2층",가야동물병원
716,폐업,031-651-8828,경기도 평택시 합정동 764번지,레오동물병원
717,폐업,031-213-1911,경기도 용인시 기흥구 영덕동 1052-1번지 두온프라자 106호,파밀리에 동물병원
718,폐업,031-322-7586,경기도 용인시 처인구 모현읍 오산리 193-28번지,죽전TNR동물병원
719,폐업,,경기도 평택시 서정동 810-1   번지,고려동물병원
720,폐업,691-7971,경기도 평택시 평택동 62-12  번지,최성호동물병원
721,폐업,654-0524,경기도 평택시 비전동 759-27  번지,김충일동물병원
722,폐업,,경기도 평택시 팽성읍 안정리 113-224번지,코암펫클리닉(COAM PET CLINIC)
723,폐업,692-7114,경기도 평택시 팽성읍 안정리 113-224 번지,코암동물병원(COAM PET CLINIC)
724,폐업,,경기도 평택시 비전동 759-27번지,코아동물병원
725,폐업,691-0509,경기도 평택시 팽성읍 안정리 41-307 번지,안정동물병원
